타임스탬프,1.본인의 연령대,"2. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","3. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","4. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","5. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","6. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","7. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","8. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","9. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","10. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","11. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","12. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","13. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","14. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","15. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","16. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","17. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","18. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","19. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","20. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","21. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","22. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","23. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","24. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","25. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","26. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다.","30. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다 (2~31번까지)","31. 나의 정원에 담고 싶은 식물에 선호도 점수를 매겨보세요.  담고 싶지 않다면, 0점으로 체크해 주시면 됩니다 (2~31번까지)"
2022. 9. 21 오후 2:09:14,20-30대,2,3,1,0,0,0,2,4,0,4,4,1,1,0,4,0,4,4,1,3,4,1,0,4,4,1,2
2022. 9. 22 오후 2:16:38,20-30대,2,2,4,2,2,2,2,2,0,3,3,2,0,0,0,0,1,0,1,2,1,2,1,1,3,1,2
2022. 9. 22 오후 2:18:07,20-30대,3,2,1,0,1,0,0,2,0,4,2,0,3,0,0,0,0,1,3,3,3,0,0,0,0,1,3
2022. 9. 22 오후 5:18:57,20-30대,1,0,0,2,1,0,3,3,4,3,3,1,1,1,1,4,4,2,2,2,2,4,2,3,2,,
2022. 9. 22 오후 5:19:29,20-30대,3,0,0,0,0,0,0,2,0,3,3,3,4,1,0,1,0,1,0,3,3,4,0,0,0,,
2022. 9. 22 오후 5:23:53,20-30대,2,4,0,0,0,0,0,4,0,0,4,0,2,2,3,0,3,3,1,0,3,2,0,4,3,,
2022. 9. 22 오후 5:28:51,20-30대,4,2,3,1,4,0,1,4,0,3,2,1,4,4,4,1,3,3,4,1,3,1,2,2,4,,
2022. 9. 22 오후 5:33:27,20-30대,2,1,0,0,1,1,0,0,0,1,0,4,2,3,4,1,3,3,3,4,4,4,1,2,1,,
2022. 9. 22 오후 5:35:25,20-30대,4,0,2,1,3,4,4,2,1,1,2,1,3,3,3,3,3,4,4,2,4,4,4,3,4,,
2022. 9. 22 오후 5:36:27,20-30대,4,2,0,0,0,0,1,1,0,1,1,0,1,2,1,0,2,2,2,3,2,1,0,0,0,,
2022. 9. 22 오후 5:36:34,20-30대,3,0,0,0,0,0,0,3,0,3,3,2,3,2,0,0,4,4,4,2,3,0,0,3,4,,
2022. 9. 22 오후 5:36:41,20-30대,1,3,1,2,1,1,2,1,1,2,1,2,2,2,1,1,3,2,2,3,2,2,2,3,2,,
2022. 9. 22 오후 5:38:15,20-30대,4,2,4,1,3,3,3,4,1,4,3,3,4,4,3,4,3,4,4,3,1,3,2,4,4,,
2022. 9. 22 오후 5:38:24,20-30대,3,1,2,2,1,1,2,4,2,3,3,2,3,3,2,2,3,2,2,3,2,3,2,1,2,,
2022. 9. 22 오후 5:40:08,20-30대,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,,
2022. 9. 22 오후 5:40:54,20-30대,3,0,3,2,2,1,3,4,3,3,3,3,3,1,2,1,3,3,3,3,3,3,3,2,2,,
2022. 9. 22 오후 5:42:32,20-30대,4,1,2,2,3,4,2,4,3,4,2,3,3,2,2,2,3,2,3,4,3,3,3,3,4,,
2022. 9. 22 오후 5:43:03,20-30대,4,1,1,3,1,4,0,0,0,0,0,3,4,4,4,2,1,1,2,4,4,0,0,0,0,,
2022. 9. 22 오후 5:43:25,20-30대,4,4,3,4,2,2,3,4,4,3,4,3,2,4,1,4,4,2,2,3,3,4,3,4,3,,
2022. 9. 22 오후 5:47:42,20-30대,3,0,3,2,0,1,4,1,0,2,3,3,2,2,0,2,1,1,2,1,1,0,0,0,0,,
2022. 9. 22 오후 5:48:04,20-30대,2,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,1,2,1,0,0,0,0,0,0,,
2022. 9. 22 오후 5:48:25,20-30대,2,2,2,4,1,0,3,4,4,4,4,2,4,2,1,0,3,1,4,2,1,0,1,1,2,,
2022. 9. 22 오후 5:48:36,20-30대,1,0,0,0,0,1,0,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022. 9. 22 오후 5:48:51,20-30대,1,2,1,1,1,1,2,4,2,1,4,1,2,2,4,1,1,1,3,2,3,2,2,2,3,,
