cntntsNo(식물번호)    cntntsSj(식물명)                                                                                                                                                        
12938    가울테리아                                                                                                                                                        
12954    개운죽                                                                                                                                                        
12955    골드크레스트 *윌마*                                                                                                                                                        
12957    공작야자                                                                                                                                                        
12962    관엽베고니아                                                                                                                                                        
12963    관음죽                                                                                                                                                        
12966    구문초                                                                                                                                                        
12972    구즈마니아                                                                                                                                                        
12974    군자란                                                                                                                                                        
12988    글레코마                                                                                                                                                        
12990    금목서                                                                                                                                                        
12994    금사철나무                                                                                                                                                        
12998    금식나무                                                                                                                                                        
13186    금전수                                                                                                                                                        
13196    금천죽                                                                                                                                                        
13199    기누라                                                                                                                                                        
13201    꽃베고니아                                                                                                                                                        
13202    나도풍란                                                                                                                                                        
13203    나한송                                                                                                                                                        
13206    남천                                                                                                                                                        
13207    네마탄투스                                                                                                                                                        
13208    네오레겔리아                                                                                                                                                        
13210    녹영                                                                                                                                                        
13218    뉴기니아봉선화                                                                                                                                                        
13333    대만고무나무                                                                                                                                                        
13335    더피고사리                                                                                                                                                        
13336    덕구리난                                                                                                                                                        
13337    데코라고무나무                                                                                                                                                        
13338    덴파레                                                                                                                                                        
13339    도깨비고비                                                                                                                                                        
13340    돈나무                                                                                                                                                        
14663    동백                                                                                                                                                        
14674    둥근잎 아랄리아                                                                                                                                                        
14675    듀란타                                                                                                                                                        
14676    드라세나  *송오브자마이카*                                                                                                                                                        
14687    드라세나  *와네끼*                                                                                                                                                        
14694    드라세나 *송오브인디아*                                                                                                                                                        
14696    드라세나 *자바*                                                                                                                                                        
14697    드라세나 *콤팩타*                                                                                                                                                        
14698    드라세나 *트리컬러 레인보우*                                                                                                                                                        
14688    드라세나 드라코                                                                                                                                                        
14689    드라세나 마지나타                                                                                                                                                        
14690    드라세나 맛상게아나                                                                                                                                                        
14691    드라세나 산데리아나                                                                                                                                                        
14692    드라세나 산데리아나 *세레스*                                                                                                                                                        
14695    드라세나 수르쿨로사                                                                                                                                                        
14699    디지고데카                                                                                                                                                        
14700    디펜바키아 *마리안느*                                                                                                                                                        
14713    디펜바키아 *트로픽스노우*                                                                                                                                                        
14911    떡갈잎 고무나무                                                                                                                                                        
14913    러브체인                                                                                                                                                        
14920    렉스베고니아                                                                                                                                                        
15830    루모라고사리                                                                                                                                                        
16034    루스커스                                                                                                                                                        
16038    마란타 류코뉴라                                                                                                                                                        
16238    마삭줄                                                                                                                                                        
16239    만년청                                                                                                                                                        
16241    만데빌라                                                                                                                                                        
16245    멕시코소철                                                                                                                                                        
16246    멜라니 고무나무                                                                                                                                                        
16448    목베고니아                                                                                                                                                        
16449    몬스테라                                                                                                                                                        
17749    무늬관음죽                                                                                                                                                        
17750    무늬마삭줄                                                                                                                                                        
17751    무늬벤자민고무나무                                                                                                                                                        
18575    무늬산호수                                                                                                                                                        
18576    무늬석창포                                                                                                                                                        
18593    무늬쉐플레라*홍콩*                                                                                                                                                        
18596    무늬알피니아                                                                                                                                                        
18597    무늬유카                                                                                                                                                        
18599    무늬접란                                                                                                                                                        
18600    무늬털머위                                                                                                                                                        
18602    무늬팻츠헤데라                                                                                                                                                        
18604    무늬푸밀라고무나무                                                                                                                                                        
18649    뮤렌베키아                                                                                                                                                        
18656    바위취                                                                                                                                                        
18659    박쥐란                                                                                                                                                        
18692    반딧불털머위                                                                                                                                                        
18694    백량금                                                                                                                                                        
14915    백정화                                                                                                                                                        
14916    백화등                                                                                                                                                        
14919    벤자민고무나무                                                                                                                                                        
15828    벤자민고무나무 *킹*                                                                                                                                                        
15831    벵갈고무나무                                                                                                                                                        
15835    병솔나무                                                                                                                                                        
16037    보스톤고사리                                                                                                                                                        
16138    봉의꼬리                                                                                                                                                        
18613    부겐빌레아                                                                                                                                                        
18652    브룬펠시아                                                                                                                                                        
18655    브리세아                                                                                                                                                        
18695    비젯티접란                                                                                                                                                        
18697    비타툼접란                                                                                                                                                        
19448    산세베리아                                                                                                                                                        
19449    산세베리아 *골든 하니*                                                                                                                                                        
19451    산호수                                                                                                                                                        
19452    삼색데코라고무나무                                                                                                                                                        
19453    상록넉줄고사리 *후마타*                                                                                                                                                        
19455    새우란                                                                                                                                                        
19457    석창포                                                                                                                                                        
19460    세네시오 라디칸스                                                                                                                                                        
19663    세이프릿지 야자                                                                                                                                                        
19696    셀라기넬라                                                                                                                                                        
19701    소철                                                                                                                                                        
19703    소피아 고무나무                                                                                                                                                        
19704    솔레이롤리아                                                                                                                                                        
19706    수박페페로미아                                                                                                                                                        
19709    수박필레아                                                                                                                                                        
19711    수염 틸란드시아                                                                                                                                                        
19713    숙근이베리스                                                                                                                                                        
19715    쉐플레라 *홍콩*                                                                                                                                                        
19716    스킨답서스                                                                                                                                                        
19717    스파티필룸                                                                                                                                                        
19718    스파티필룸 (광엽)                                                                                                                                                        
19719    시서스                                                                                                                                                        
19707    시클라멘                                                                                                                                                        
19712    심비디움                                                                                                                                                        
19714    싱고니움                                                                                                                                                        
19469    아글라오네마                                                                                                                                                        
19468    아데니움                                                                                                                                                        
19467    아디안텀                                                                                                                                                        
19466    아라우카리아                                                                                                                                                        
19465    아레카야자                                                                                                                                                        
19470    아마릴리스                                                                                                                                                        
19464    아스파라거스 풀루모수스                                                                                                                                                        
